year_month,location,rainfall_level
2019-12,TAMILNADU,74.23204301
2020-01,TAMILNADU,1809.380753
2020-02,TAMILNADU,423.2401176
2020-03,TAMILNADU,21.35516129
2020-04,TAMILNADU,55.79022222
2020-05,TAMILNADU,2206.692366
2020-06,TAMILNADU,37.55988889
2020-07,TAMILNADU,52.60258065
2020-08,TAMILNADU,17.36301075
2020-09,TAMILNADU,30.95822222
2020-10,TAMILNADU,11.27419355
2020-11,TAMILNADU,14.30211111
2020-12,TAMILNADU,24.49397849
2021-01,TAMILNADU,114.9208602
2021-02,TAMILNADU,10.59488095
2021-03,TAMILNADU,3.300107527
2021-04,TAMILNADU,45.70766667
2021-05,TAMILNADU,128.1033333
2021-06,TAMILNADU,226.2957778
2021-07,TAMILNADU,204.6562366
2021-08,TAMILNADU,84.71505376
2021-09,TAMILNADU,87.302
2021-10,TAMILNADU,167.042043
2021-11,TAMILNADU,176.3583333
2021-12,TAMILNADU,24.59451613
2022-01,TAMILNADU,169.2745161
2022-02,TAMILNADU,18.99988095
2022-03,TAMILNADU,147.9647312
2022-04,TAMILNADU,422.413
2022-05,TAMILNADU,1413.420538
2022-06,TAMILNADU,543.2090909
2022-07,TAMILNADU,5632.947576
2016-01,GUJARAT,27.89418605
2016-02,GUJARAT,22.96135135
2016-03,GUJARAT,20.48512821
2016-04,GUJARAT,25.91037037
2016-05,GUJARAT,29.76554348
2016-06,GUJARAT,28.38222222
2016-07,GUJARAT,12.70096774
2016-08,GUJARAT,1.132580645
2016-09,GUJARAT,5.266
2016-10,GUJARAT,50.49075269
2016-11,GUJARAT,33.21233333
2016-12,GUJARAT,26.17059524
2017-01,GUJARAT,26.73116279
2017-02,GUJARAT,23.27589041
2017-03,GUJARAT,19.21358974
2017-04,GUJARAT,25.91049383
2017-05,GUJARAT,22.60032609
2017-06,GUJARAT,5.17
2017-07,GUJARAT,31.09215054
2017-08,GUJARAT,0.277741935
2017-09,GUJARAT,15.08444444
2017-10,GUJARAT,20.00462366
2017-11,GUJARAT,33.21233333
2017-12,GUJARAT,466.4082143
2018-01,GUJARAT,27.89406977
2018-02,GUJARAT,23.27589041
2018-03,GUJARAT,20.49538462
2018-04,GUJARAT,20.1482716
2018-05,GUJARAT,31.47826087
2018-06,GUJARAT,11.87277778
2018-07,GUJARAT,31.46505376
2018-08,GUJARAT,5.38
2018-09,GUJARAT,13.82144444
2018-10,GUJARAT,30.45516129
2018-11,GUJARAT,33.13288889
2018-12,GUJARAT,25.91511905
2019-01,GUJARAT,27.89360465
2019-02,GUJARAT,10.33342466
2019-03,GUJARAT,498.3534615
2019-04,GUJARAT,3835.342469
2019-05,GUJARAT,972.8368478
2019-06,GUJARAT,830.1498889
2019-07,GUJARAT,71.07397849
2019-08,GUJARAT,517.6401075
2019-09,GUJARAT,1247.304556
2019-10,GUJARAT,598.5703226
2019-11,GUJARAT,473.6664444
2019-12,GUJARAT,426.9553571
2020-01,GUJARAT,4.554767442
2020-02,GUJARAT,2.679054054
2020-03,GUJARAT,770.8451282
2020-04,GUJARAT,274.8498765
2020-05,GUJARAT,248.9063043
2020-06,GUJARAT,50.02988889
2020-07,GUJARAT,2.955053763
2020-08,GUJARAT,105.7850538
2020-09,GUJARAT,12.58033333
2020-10,GUJARAT,289.7860215
2020-11,GUJARAT,33.21233333
2020-12,GUJARAT,55.40964286
2021-01,GUJARAT,88.91069767
2021-02,GUJARAT,9.505205479
2021-03,GUJARAT,101.485
2021-04,GUJARAT,1451.444691
2021-05,GUJARAT,2869.736848
2021-06,GUJARAT,7.643
2021-07,GUJARAT,10.81935484
2021-08,GUJARAT,21.43311828
2021-09,GUJARAT,88.70733333
2021-10,GUJARAT,5.664086022
2021-11,GUJARAT,50.63511111
2021-12,GUJARAT,328.0520238
2022-01,GUJARAT,135.6696512
2022-02,GUJARAT,987.1813699
2022-03,GUJARAT,1111.910513
2022-04,GUJARAT,5172.556049
2022-05,GUJARAT,1088.886739
2022-06,GUJARAT,37.44363636
2022-07,GUJARAT,43.21151515
2016-01,KARNATAKA,21.48268817
2016-02,KARNATAKA,28.31705882
2016-03,KARNATAKA,20.5911828
2016-04,KARNATAKA,28.64422222
2016-05,KARNATAKA,8.158387097
2016-06,KARNATAKA,4.287333333
2016-07,KARNATAKA,6.990860215
2016-08,KARNATAKA,15.02064516
2016-09,KARNATAKA,10.09044444
2016-10,KARNATAKA,27.04225806
2016-11,KARNATAKA,27.88866667
2016-12,KARNATAKA,4.873548387
2017-01,KARNATAKA,61.32827957
2017-02,KARNATAKA,33.30142857
2017-03,KARNATAKA,1.450645161
2017-04,KARNATAKA,10.97377778
2017-05,KARNATAKA,7.842795699
2017-06,KARNATAKA,10.00055556
2017-07,KARNATAKA,19.61344086
2017-08,KARNATAKA,1.364946237
2017-09,KARNATAKA,25.80722222
2017-10,KARNATAKA,3.713655914
2017-11,KARNATAKA,25.23577778
2017-12,KARNATAKA,21.18290323
2018-01,KARNATAKA,33.31182796
2018-02,KARNATAKA,112.8247619
2018-03,KARNATAKA,94.30236559
2018-04,KARNATAKA,10.95633333
2018-05,KARNATAKA,31.48612903
2018-06,KARNATAKA,23.32522222
2018-07,KARNATAKA,6.855268817
2018-08,KARNATAKA,15.08752688
2018-09,KARNATAKA,2.871555556
2018-10,KARNATAKA,2.567956989
2018-11,KARNATAKA,12.28366667
2018-12,KARNATAKA,25.35817204
2019-01,KARNATAKA,72.54
2019-02,KARNATAKA,29.32559524
2019-03,KARNATAKA,28.87096774
2019-04,KARNATAKA,18.584
2019-05,KARNATAKA,19.09989247
2019-06,KARNATAKA,2.644888889
2019-07,KARNATAKA,0.454408602
2019-08,KARNATAKA,21.28580645
2019-09,KARNATAKA,40.28544444
2019-10,KARNATAKA,66.26064516
2019-11,KARNATAKA,181.4746667
2019-12,KARNATAKA,287.5462366
2020-01,KARNATAKA,1037.61
2020-02,KARNATAKA,71.36647059
2020-03,KARNATAKA,132.5112903
2020-04,KARNATAKA,71.325
2020-05,KARNATAKA,432.2576344
2020-06,KARNATAKA,40.36933333
2020-07,KARNATAKA,33.79032258
2020-08,KARNATAKA,27.34741935
2020-09,KARNATAKA,97.03144444
2020-10,KARNATAKA,37.17010753
2020-11,KARNATAKA,3.349777778
2020-12,KARNATAKA,6.232150538
2021-01,KARNATAKA,620.2913978
2021-02,KARNATAKA,3942.6975
2021-03,KARNATAKA,4034.287312
2021-04,KARNATAKA,329.7397778
2021-05,KARNATAKA,217.4952688
2021-06,KARNATAKA,97.641
2021-07,KARNATAKA,28.51860215
2021-08,KARNATAKA,46.19354839
2021-09,KARNATAKA,68.38855556
2021-10,KARNATAKA,123.567957
2021-11,KARNATAKA,241.1111111
2021-12,KARNATAKA,43.47967742
2022-01,KARNATAKA,418.5977419
2022-02,KARNATAKA,9.383452381
2022-03,KARNATAKA,637.675914
2022-04,KARNATAKA,329.7138889
2022-05,KARNATAKA,541.3543011
2022-06,KARNATAKA,37.71897727
2022-07,KARNATAKA,1483.643636
2016-01,WEST BENGAL,6.033333333
2016-02,WEST BENGAL,44.44882353
2016-03,WEST BENGAL,15.49516129
2016-04,WEST BENGAL,30.40511111
2016-05,WEST BENGAL,10.24795699
2016-06,WEST BENGAL,8.946444444
2016-07,WEST BENGAL,17.13193548
2016-08,WEST BENGAL,8.466451613
2016-09,WEST BENGAL,12.10933333
2016-10,WEST BENGAL,6.390752688
2016-11,WEST BENGAL,30.32511111
2016-12,WEST BENGAL,31.62395604
2017-01,WEST BENGAL,30.15946237
2017-02,WEST BENGAL,32.02678571
2017-03,WEST BENGAL,35.06129032
2017-04,WEST BENGAL,5.378111111
2017-05,WEST BENGAL,10.15204301
2017-06,WEST BENGAL,1.000555556
2017-07,WEST BENGAL,18.63150538
2017-08,WEST BENGAL,12.92483871
2017-09,WEST BENGAL,9.333444444
2017-10,WEST BENGAL,29.00053763
2017-11,WEST BENGAL,32.30766667
2017-12,WEST BENGAL,18.97725275
2018-01,WEST BENGAL,32.98817204
2018-02,WEST BENGAL,25.78857143
2018-03,WEST BENGAL,19.53688172
2018-04,WEST BENGAL,48.63044444
2018-05,WEST BENGAL,22.6572043
2018-06,WEST BENGAL,8.569222222
2018-07,WEST BENGAL,12.65989247
2018-08,WEST BENGAL,10.17806452
2018-09,WEST BENGAL,9.878444444
2018-10,WEST BENGAL,11.35096774
2018-11,WEST BENGAL,24.92422222
2018-12,WEST BENGAL,578.3062637
2019-01,WEST BENGAL,30.2244086
2019-02,WEST BENGAL,192.1346429
2019-03,WEST BENGAL,297.0148387
2019-04,WEST BENGAL,202.9537778
2019-05,WEST BENGAL,33.42107527
2019-06,WEST BENGAL,56.52388889
2019-07,WEST BENGAL,16.53333333
2019-08,WEST BENGAL,17.16462366
2019-09,WEST BENGAL,202.2885556
2019-10,WEST BENGAL,221.4841935
2019-11,WEST BENGAL,3322.683667
2019-12,WEST BENGAL,437.4769231
2020-01,WEST BENGAL,1293.217742
2020-02,WEST BENGAL,62.29788235
2020-03,WEST BENGAL,40.98473118
2020-04,WEST BENGAL,64.09188889
2020-05,WEST BENGAL,227.0570968
2020-06,WEST BENGAL,28.36711111
2020-07,WEST BENGAL,43.34989247
2020-08,WEST BENGAL,9.453548387
2020-09,WEST BENGAL,279.7161111
2020-10,WEST BENGAL,75.70774194
2020-11,WEST BENGAL,13.55222222
2020-12,WEST BENGAL,394.2435165
2021-01,WEST BENGAL,7.65311828
2021-02,WEST BENGAL,356.2053571
2021-03,WEST BENGAL,200.5804301
2021-04,WEST BENGAL,73.41666667
2021-05,WEST BENGAL,909.158172
2021-06,WEST BENGAL,33.86733333
2021-07,WEST BENGAL,18.68107527
2021-08,WEST BENGAL,15.64225806
2021-09,WEST BENGAL,19.31677778
2021-10,WEST BENGAL,31.29290323
2021-11,WEST BENGAL,205.6692222
2021-12,WEST BENGAL,4291.015495
2022-01,WEST BENGAL,404.3263441
2022-02,WEST BENGAL,490.4614286
2022-03,WEST BENGAL,103.6807527
2022-04,WEST BENGAL,186.2423333
2022-05,WEST BENGAL,98.34397849
2022-06,WEST BENGAL,103.2263636
2022-07,WEST BENGAL,26.22757576
2016-01,ODISHA,29.49591398
2016-02,ODISHA,0.135176471
2016-03,ODISHA,17.69408602
2016-04,ODISHA,21.01111111
2016-05,ODISHA,4.45344086
2016-06,ODISHA,11.83388889
2016-07,ODISHA,12.49483871
2016-08,ODISHA,11.13021505
2016-09,ODISHA,3.525777778
2016-10,ODISHA,17.09430108
2016-11,ODISHA,25.74155556
2016-12,ODISHA,31.45869565
2017-01,ODISHA,26.77376344
2017-02,ODISHA,33.09535714
2017-03,ODISHA,22.18010753
2017-04,ODISHA,20.55155556
2017-05,ODISHA,13.78075269
2017-06,ODISHA,12.25444444
2017-07,ODISHA,9.806774194
2017-08,ODISHA,9.05688172
2017-09,ODISHA,18.228
2017-10,ODISHA,6.81827957
2017-11,ODISHA,9.710444444
2017-12,ODISHA,12.0051087
2018-01,ODISHA,33.19817204
2018-02,ODISHA,29.9972619
2018-03,ODISHA,29.02258065
2018-04,ODISHA,94.16011111
2018-05,ODISHA,50.41397849
2018-06,ODISHA,26.51255556
2018-07,ODISHA,64.41806452
2018-08,ODISHA,45.65741935
2018-09,ODISHA,50.09755556
2018-10,ODISHA,39.65537634
2018-11,ODISHA,32.37688889
2018-12,ODISHA,700.7066304
2019-01,ODISHA,9.227311828
2019-02,ODISHA,14.63666667
2019-03,ODISHA,13.51494624
2019-04,ODISHA,11.53433333
2019-05,ODISHA,41.0
2019-06,ODISHA,5.263222222
2019-07,ODISHA,1.635268817
2019-08,ODISHA,11.79397849
2019-09,ODISHA,26.47866667
2019-10,ODISHA,37.44548387
2019-11,ODISHA,665.9464444
2019-12,ODISHA,2609.001739
2020-01,ODISHA,1073.206882
2020-02,ODISHA,381.6791765
2020-03,ODISHA,144.507957
2020-04,ODISHA,172.2971111
2020-05,ODISHA,626.055914
2020-06,ODISHA,22.31511111
2020-07,ODISHA,10.60473118
2020-08,ODISHA,35.39462366
2020-09,ODISHA,0.882
2020-10,ODISHA,15.47591398
2020-11,ODISHA,70.65877778
2020-12,ODISHA,31.42586957
2021-01,ODISHA,44.74462366
2021-02,ODISHA,335.0044048
2021-03,ODISHA,124.4269892
2021-04,ODISHA,82.91688889
2021-05,ODISHA,194.8005376
2021-06,ODISHA,31.90555556
2021-07,ODISHA,3.134946237
2021-08,ODISHA,6.65311828
2021-09,ODISHA,27.70855556
2021-10,ODISHA,12.17129032
2021-11,ODISHA,584.7368889
2021-12,ODISHA,2128.473261
2022-01,ODISHA,733.1037634
2022-02,ODISHA,391.0328571
2022-03,ODISHA,405.673871
2022-04,ODISHA,294.8673333
2022-05,ODISHA,376.3075269
2022-06,ODISHA,194.5667045
2022-07,ODISHA,95.49121212
2016-01,CHHATTISGARH,15.65989247
2016-02,CHHATTISGARH,27.20435294
2016-03,CHHATTISGARH,39.93064516
2016-04,CHHATTISGARH,23.41022222
2016-05,CHHATTISGARH,6.726021505
2016-06,CHHATTISGARH,7.869444444
2016-07,CHHATTISGARH,1.240752688
2016-08,CHHATTISGARH,5.497311828
2016-09,CHHATTISGARH,19.73566667
2016-10,CHHATTISGARH,12.21935484
2016-11,CHHATTISGARH,33.21788889
2016-12,CHHATTISGARH,32.02752688
2017-01,CHHATTISGARH,23.58043011
2017-02,CHHATTISGARH,29.41511905
2017-03,CHHATTISGARH,6.133655914
2017-04,CHHATTISGARH,32.91911111
2017-05,CHHATTISGARH,4.336344086
2017-06,CHHATTISGARH,6.860333333
2017-07,CHHATTISGARH,7.382258065
2017-08,CHHATTISGARH,6.687096774
2017-09,CHHATTISGARH,7.104333333
2017-10,CHHATTISGARH,12.99053763
2017-11,CHHATTISGARH,29.76444444
2017-12,CHHATTISGARH,33.28247312
2018-01,CHHATTISGARH,32.78236559
2018-02,CHHATTISGARH,20.82178571
2018-03,CHHATTISGARH,17.34172043
2018-04,CHHATTISGARH,106.6713333
2018-05,CHHATTISGARH,69.24215054
2018-06,CHHATTISGARH,57.59433333
2018-07,CHHATTISGARH,54.91354839
2018-08,CHHATTISGARH,52.18935484
2018-09,CHHATTISGARH,11.58233333
2018-10,CHHATTISGARH,27.80602151
2018-11,CHHATTISGARH,30.12244444
2018-12,CHHATTISGARH,746.6051613
2019-01,CHHATTISGARH,66.56107527
2019-02,CHHATTISGARH,53.88369048
2019-03,CHHATTISGARH,12.47494624
2019-04,CHHATTISGARH,53.22511111
2019-05,CHHATTISGARH,45.80946237
2019-06,CHHATTISGARH,6.908888889
2019-07,CHHATTISGARH,3.588064516
2019-08,CHHATTISGARH,11.16129032
2019-09,CHHATTISGARH,41.05888889
2019-10,CHHATTISGARH,91.3344086
2019-11,CHHATTISGARH,452.8494444
2019-12,CHHATTISGARH,6038.018925
2020-01,CHHATTISGARH,2948.606774
2020-02,CHHATTISGARH,350.1984706
2020-03,CHHATTISGARH,92.76860215
2020-04,CHHATTISGARH,311.6423333
2020-05,CHHATTISGARH,716.2874194
2020-06,CHHATTISGARH,31.61177778
2020-07,CHHATTISGARH,22.67
2020-08,CHHATTISGARH,44.16774194
2020-09,CHHATTISGARH,26.25811111
2020-10,CHHATTISGARH,73.25064516
2020-11,CHHATTISGARH,242.8713333
2020-12,CHHATTISGARH,6.178924731
2021-01,CHHATTISGARH,330.8934409
2021-02,CHHATTISGARH,15.28404762
2021-03,CHHATTISGARH,182.8764516
2021-04,CHHATTISGARH,787.2163333
2021-05,CHHATTISGARH,678.2939785
2021-06,CHHATTISGARH,46.09744444
2021-07,CHHATTISGARH,0.395483871
2021-08,CHHATTISGARH,6.979569892
2021-09,CHHATTISGARH,16.36855556
2021-10,CHHATTISGARH,12.29537634
2021-11,CHHATTISGARH,285.1588889
2021-12,CHHATTISGARH,1513.194086
2022-01,CHHATTISGARH,106.5029032
2022-02,CHHATTISGARH,60.08845238
2022-03,CHHATTISGARH,75.53526882
2022-04,CHHATTISGARH,417.3523333
2022-05,CHHATTISGARH,219.2349462
2022-06,CHHATTISGARH,8.705340909
2022-07,CHHATTISGARH,57.36515152
2016-01,TELANGANA,0.372903226
2016-02,TELANGANA,15.58235294
2016-03,TELANGANA,49.72397849
2016-04,TELANGANA,11.91611111
2016-05,TELANGANA,89.45043011
2016-06,TELANGANA,20.30677778
2016-07,TELANGANA,1.289247312
2016-08,TELANGANA,10.42666667
2016-09,TELANGANA,35.05077778
2016-10,TELANGANA,7.438817204
2016-11,TELANGANA,32.707
2016-12,TELANGANA,28.97380435
2017-01,TELANGANA,31.73935484
2017-02,TELANGANA,30.39809524
2017-03,TELANGANA,6.618387097
2017-04,TELANGANA,13.51344444
2017-05,TELANGANA,11.83473118
2017-06,TELANGANA,16.62666667
2017-07,TELANGANA,6.62
2017-08,TELANGANA,3.022258065
2017-09,TELANGANA,0.335333333
2017-10,TELANGANA,19.98462366
2017-11,TELANGANA,22.22666667
2017-12,TELANGANA,25.50336957
2018-01,TELANGANA,20.64569892
2018-02,TELANGANA,7.704047619
2018-03,TELANGANA,15.06365591
2018-04,TELANGANA,21.10788889
2018-05,TELANGANA,41.45129032
2018-06,TELANGANA,45.36355556
2018-07,TELANGANA,26.94344086
2018-08,TELANGANA,45.32784946
2018-09,TELANGANA,6.422111111
2018-10,TELANGANA,23.62225806
2018-11,TELANGANA,22.42577778
2018-12,TELANGANA,265.2190217
2019-01,TELANGANA,856.7208602
2019-02,TELANGANA,18.05559524
2019-03,TELANGANA,20.77956989
2019-04,TELANGANA,4.739666667
2019-05,TELANGANA,45.38236559
2019-06,TELANGANA,12.30888889
2019-07,TELANGANA,16.10247312
2019-08,TELANGANA,8.582150538
2019-09,TELANGANA,14.06033333
2019-10,TELANGANA,73.60021505
2019-11,TELANGANA,439.5656667
2019-12,TELANGANA,4378.063804
2020-01,TELANGANA,5419.276667
2020-02,TELANGANA,19.50023529
2020-03,TELANGANA,45.67376344
2020-04,TELANGANA,355.8088889
2020-05,TELANGANA,515.5858065
2020-06,TELANGANA,31.20677778
2020-07,TELANGANA,51.67580645
2020-08,TELANGANA,64.14526882
2020-09,TELANGANA,68.59722222
2020-10,TELANGANA,71.80591398
2020-11,TELANGANA,64.33377778
2020-12,TELANGANA,30.13228261
2021-01,TELANGANA,909.9435484
2021-02,TELANGANA,446.4563095
2021-03,TELANGANA,949.8143011
2021-04,TELANGANA,1175.696333
2021-05,TELANGANA,2168.660645
2021-06,TELANGANA,31.10966667
2021-07,TELANGANA,20.35849462
2021-08,TELANGANA,3.547526882
2021-09,TELANGANA,24.00744444
2021-10,TELANGANA,7.456989247
2021-11,TELANGANA,92.15655556
2021-12,TELANGANA,109.3713043
2022-01,TELANGANA,565.3649462
2022-02,TELANGANA,15.71940476
2022-03,TELANGANA,897.6993548
2022-04,TELANGANA,383.423
2022-05,TELANGANA,345.1515054
2022-06,TELANGANA,38.27659091
2022-07,TELANGANA,111.5712121
2016-01,KERALA,26.21473118
2016-02,KERALA,31.67705882
2016-03,KERALA,18.75263736
2016-04,KERALA,26.52181818
2016-05,KERALA,20.9988172
2016-06,KERALA,16.70955556
2016-07,KERALA,15.52666667
2016-08,KERALA,18.85236559
2016-09,KERALA,25.09266667
2016-10,KERALA,25.45419355
2016-11,KERALA,27.27222222
2016-12,KERALA,28.54280899
2017-01,KERALA,23.89365591
2017-02,KERALA,32.2885
2017-03,KERALA,5.378888889
2017-04,KERALA,29.125
2017-05,KERALA,21.57058824
2017-06,KERALA,12.68544444
2017-07,KERALA,17.40333333
2017-08,KERALA,12.66602151
2017-09,KERALA,10.12311111
2017-10,KERALA,20.31580645
2017-11,KERALA,23.05433333
2017-12,KERALA,27.12150538
2018-01,KERALA,32.7483871
2018-02,KERALA,18.4022619
2018-03,KERALA,5.009677419
2018-04,KERALA,9.929444444
2018-05,KERALA,0.386129032
2018-06,KERALA,2.683111111
2018-07,KERALA,1.102473118
2018-08,KERALA,7.047096774
2018-09,KERALA,17.148
2018-10,KERALA,6.300860215
2018-11,KERALA,14.18511111
2018-12,KERALA,11.73215054
2019-01,KERALA,26.21612903
2019-02,KERALA,11.01595238
